Ontology,Description,Count,Ratio,pvalue,padj,log10padj
KEGG_PATHWAY,Calcium signaling pathway,33,0.062030075,3.91E-17,9.51E-15,14.02181948
KEGG_PATHWAY,Circadian entrainment,19,0.035714286,8.28E-13,1.01E-10,9.995678626
KEGG_PATHWAY,Neuroactive ligand signaling,24,0.045112782,6.41E-12,5.19E-10,9.284832642
KEGG_PATHWAY,cAMP signaling pathway,21,0.039473684,2.05E-08,1.25E-06,5.903089987
KEGG_PATHWAY,Axon guidance,18,0.033834586,1.18E-07,5.72E-06,5.242603971
KEGG_PATHWAY,Long-term potentiation,11,0.020676692,6.92E-07,2.80E-05,4.552841969
KEGG_PATHWAY,Neuroactive ligand-receptor interaction,25,0.046992481,1.04E-06,3.31E-05,4.480172006
KEGG_PATHWAY,Aldosterone synthesis and secretion,13,0.02443609,1.09E-06,3.31E-05,4.480172006
KEGG_PATHWAY,IgSF CAM signaling,21,0.039473684,2.40E-06,6.48E-05,4.188424994
KEGG_PATHWAY,Dopaminergic synapse,14,0.026315789,3.07E-06,7.47E-05,4.126679398
KEGG_PATHWAY,Glutamatergic synapse,13,0.02443609,3.51E-06,7.76E-05,4.110138279
KEGG_PATHWAY,Amphetamine addiction,10,0.018796992,8.01E-06,1.62E-04,3.790484985
KEGG_PATHWAY,Oxytocin signaling pathway,14,0.026315789,1.22E-05,2.22E-04,3.653647026
KEGG_PATHWAY,Nicotine addiction,8,0.015037594,1.28E-05,2.22E-04,3.653647026
KEGG_PATHWAY,Cholinergic synapse,12,0.022556391,1.62E-05,2.63E-04,3.580044252
KEGG_PATHWAY,Ras signaling pathway,17,0.031954887,2.16E-05,3.28E-04,3.484126156
KEGG_PATHWAY,Phospholipase D signaling pathway,12,0.022556391,2.05E-04,2.93E-03,2.53313238
KEGG_PATHWAY,Retrograde endocannabinoid signaling,12,0.022556391,2.17E-04,2.93E-03,2.53313238
KEGG_PATHWAY,GnRH secretion,8,0.015037594,2.57E-04,3.29E-03,2.482804102
KEGG_PATHWAY,Adrenergic signaling in cardiomyocytes,12,0.022556391,2.89E-04,3.51E-03,2.454692884
KEGG_PATHWAY,Salivary secretion,9,0.016917293,3.52E-04,4.07E-03,2.390405591
KEGG_PATHWAY,Cocaine addiction,7,0.013157895,3.75E-04,4.14E-03,2.382999659
KEGG_PATHWAY,Rap1 signaling pathway,14,0.026315789,3.99E-04,4.22E-03,2.374687549
KEGG_PATHWAY,Morphine addiction,9,0.016917293,5.14E-04,5.21E-03,2.283162277
KEGG_PATHWAY,Choline metabolism in cancer,9,0.016917293,7.84E-04,7.63E-03,2.117475462
KEGG_PATHWAY,Dilated cardiomyopathy,9,0.016917293,1.09E-03,1.02E-02,1.991399828
KEGG_PATHWAY,Pathways of neurodegeneration - multiple diseases,21,0.039473684,1.31E-03,1.18E-02,1.928117993
KEGG_PATHWAY,Endocrine and other factor-regulated calcium reabsorption,7,0.013157895,1.37E-03,1.19E-02,1.924453039
KEGG_PATHWAY,Gap junction,8,0.015037594,1.69E-03,1.37E-02,1.863279433
